println			
Paragraph methods list 	 	 	 
Definition class 	Method signature 	Leading line parameter legend 	Following line parameter legend 
 	 	   [ ] can be abbreviated	    blank means same as left
 	 	   \t  column separator 	 
 	 	   ... can be repeated	 
env.ObjectLoader	classURL	{class_path}	
script.ScriptParser	data	{item_parameter} [ \t {item_parameter}]...	
script.ScriptParser	ignore	{ignored}	
env.ObjectLoader	initialStage	{stage_name}	
script.ScriptParser	item	{item_method} [ \t {item_method}]...	{ignored}
script.ScriptParser	itemData	{item_method} [ \t {item_method}]...	{item_parameter} [ \t {item_parameter}]...
script.ScriptParser	print	{message}	
script.ScriptParser	println	{message}	
env.ObjectLoader	role	{role_type} [ : {super_role_type}]... [ \t {class_name}]	
env.ObjectLoader	spot	[>]{spot_name} [ \t {command_formula}]...	
env.ObjectLoader	stage	{stage_name}	
env.ObjectLoader	terminalStage	{stage_name}	
			
println			
Item methods list 	 	 	 
Definition class 	Method signature 	Parameter legend 	 
 	 	   [ ] can be abbreviated	 
env.ObjectLoader	agentCommand	[{command_formula}]	
env.ObjectLoader	agentCreate	{ignored}	
env.ObjectLoader	agentInitialize	{ignored}	
env.ObjectLoader	agentName	{agent_name}	
env.ObjectLoader	agentNumber	[{integer_number}]	
main.MainConsole	dumpAgents	[{title}]	
main.MainGUI	dumpAgents (override)	[{title}]	
main.MainConsole	dumpAgentsToConsole	[{title}]	
main.MainGUI	dumpAgentsToTab	[{title}]	
main.MainConsole	dumpSpots	[{title}]	
main.MainGUI	dumpSpots (override)	[{title}]	
main.MainConsole	dumpSpotsToConsole	[{title}]	
main.MainGUI	dumpSpotsToTab	[{title}]	
env.ObjectLoader	envLoad	{file_path}	
env.ObjectLoader	envRandomSeed	[{integer_number}]	
env.ObjectLoader	envSave	{file_path}	
env.ObjectLoader	envStartTime	[+]{time}	
env.ObjectLoader	envStepTime	{time}	
main.MainConsole	execUntil	[[+]{time}]	
script.ScriptParser	ignore	{ignored}	
main.MainConsole	logAddAgents	{regular_expression}	
main.MainConsole	logAddSpots	{regular_expression}	
main.MainConsole	logAgents	{agent_prop_key}	
main.MainConsole	logAgentsToConsole	{ignored}	
main.MainConsole	logAgentsToFile	{file_head}	
main.MainGUI	logAgentsToTab	{title_head}	
main.MainConsole	logMkdirs	{directory_path}	
main.MainConsole	logSpots	{spot_prop_key}	
main.MainConsole	logSpotsToConsole	{ignored}	
main.MainConsole	logSpotsToFile	{file_head}	
main.MainGUI	logSpotsToTab	{title_head}	
main.MainConsole	logStartTime	[+]{time}	
main.MainConsole	logStepTime	[{time}]	
script.ScriptParser	print	{message}	
script.ScriptParser	println	{message}	
env.ObjectLoader	ruleCommand	[{command_formula}]	
env.ObjectLoader	ruleCondition	[{condition_formula}]	
env.ObjectLoader	ruleCreate	[{debug_message}]	
env.ObjectLoader	ruleInfo	[{debug_message}]	
env.ObjectLoader	ruleNextStage	[{stage_name}]	
env.ObjectLoader	ruleRole	[{role_type}]	
env.ObjectLoader	ruleStage	[{stage_name}]	
env.ObjectLoader	spotCommand	[{command_formula}]	
env.ObjectLoader	spotCreate	{ignored}	
env.ObjectLoader	spotInitialize	{ignored}	
env.ObjectLoader	spotName	{spot_name}	
env.ObjectLoader	spotNumber	[{integer_number}]	
			
println			
Rule methods list 	 	 	 
Definition class 	Method signature 	Parameter legend 	 
 	   ~ command method only (not returns boolean)	   [ ] can be abbreviated	 
 	   <> with spot prefix	 	 
role.RoleStructure	~activateRole	[{role_type or role_key}]	
role.RoleStructure	~<>activateRole	{role_type or role_key}	
role.RoleForSpots	<>addAgent	{col_key}[={agent_name}]	
role.RoleStructure	addAgent	{col_key}[={agent_name}]	
role.RoleForSpots	<>addAll	{dest_col_key}={src_col_key}	
role.RoleStructure	addAll	{dest_col_key}={src_col_key}	
role.RoleForSpots	<>addEquip	{col_key}={equip_key}	
role.RoleStructure	addEquip	{col_key}={equip_key}	
role.RoleForSpots	~<>addFirstAgent	{list_key}[={agent_name}]	
role.RoleStructure	~addFirstAgent	{list_key}[={agent_name}]	
role.RoleForSpots	~<>addFirstEquip	{list_key}={equip_key}	
role.RoleStructure	~addFirstEquip	{list_key}={equip_key}	
role.RoleForSpots	~<>addFirstSpot	{list_key}[={spot_name}]	
role.RoleStructure	~addFirstSpot	{list_key}[={spot_name}]	
role.RoleForSpots	~<>addFirstString	{list_key}={string}	
role.RoleStructure	~addFirstString	{list_key}={string}	
role.RoleForSpots	~<>addLastAgent	{list_key}[={agent_name]	
role.RoleStructure	~addLastAgent	{list_key}[={agent_name]	
role.RoleForSpots	~<>addLastEquip	{list_key}={equip_key}	
role.RoleStructure	~addLastEquip	{list_key}={equip_key}	
role.RoleForSpots	~<>addLastSpot	{list_key}[={spot_name}]	
role.RoleStructure	~addLastSpot	{list_key}[={spot_name}]	
role.RoleForSpots	~<>addLastString	{list_key}={string}	
role.RoleStructure	~addLastString	{list_key}={string}	
role.RoleForSpots	~<>addParam	{invoker_key}[={equip_key or invoker_key}[={class_name}]]	
role.RoleStructure	~addParam	{invoker_key}[={equip_key or invoker_key}[={class_name}]]	
role.RoleForSpots	~<>addParamAgent	{invoker_key}[={agent_name}]	
role.RoleStructure	~addParamAgent	{invoker_key}[={agent_name}]	
role.RoleForSpots	~<>addParamBoolean	{invoker_key}={equip_key or invoker_key}[={class_name}]	
role.RoleStructure	~addParamBoolean	{invoker_key}={equip_key or invoker_key}[={class_name}]	
role.RoleForSpots	~<>addParamClass	{invoker_key}[={class_name}]	
role.RoleStructure	~addParamClass	{invoker_key}[={class_name}]	
role.RoleForSpots	~<>addParamSpot	{invoker_key}[={spot_name}]	
role.RoleStructure	~addParamSpot	{invoker_key}[={spot_name}]	
role.RoleForSpots	~<>addParamString	{invoker_key}[={string}]	
role.RoleStructure	~addParamString	{invoker_key}[={string}]	
role.RoleForSpots	<>addSpot	{col_key}[={spot_name}]	
role.RoleStructure	addSpot	{col_key}[={spot_name}]	
role.RoleForSpots	<>addString	{col_key}={string}	
role.RoleStructure	addString	{col_key}={string}	
role.RoleForSpots	~<>askAll	{col_key}={string}	
role.RoleStructure	~askAll	{col_key}={string}	
role.RoleForSpots	<>askEquip	{equip_key}[={string}]	
role.RoleStructure	askEquip	{equip_key}[={string}]	
role.RoleStructure	~attachTo	{agent_name}	
